_id,title,price,description,url
,"Сакура, собирательница карт. Том 5 : CLAMP",726.0,,https://www.labirint.ru/books/1014373/
,"Сакура, собирательница карт. Том 4 : CLAMP",726.0,,https://www.labirint.ru/books/1014372/
,"Сакура, собирательница карт. Том 3 : CLAMP",726.0,,https://www.labirint.ru/books/1014371/
,"Не дразни меня, Нагаторо-сан! Том 2 : Нанаси",851.0,,https://www.labirint.ru/books/1014369/
,Семь смертных грехов. Том 9 : Судзуки Накаба,687.0,,https://www.labirint.ru/books/1013623/
,Семь смертных грехов. Том 8 : Судзуки Накаба,687.0,,https://www.labirint.ru/books/1013622/
,"Не дразни меня, Нагаторо-сан! Том 1 : Нанаси",851.0,,https://www.labirint.ru/books/1013621/
,Акира. Том 5 : Кацухиро Отомо,1398.0,,https://www.labirint.ru/books/1013619/
,Акира. Том 4 : Кацухиро Отомо,1398.0,,https://www.labirint.ru/books/1013618/
,Sekiro. Shadows Die Twice. Иллюстрации,2725.0,,https://www.labirint.ru/books/1012856/
,Набор значков Атака Титанов. Леви,378.0,,https://www.labirint.ru/souvenir/1020087/
,Набор значков Атака Титанов. Знамена,378.0,,https://www.labirint.ru/souvenir/1020086/
,Набор значков Атака Титанов. Титаны,378.0,,https://www.labirint.ru/souvenir/1020085/
,Набор значков Naruto. Чибики Шиппуден Саске,378.0,,https://www.labirint.ru/souvenir/1020083/
,Набор значков Naruto. Чибики Шиппуден Саске,378.0,,https://www.labirint.ru/souvenir/1020081/
,Набор значков Atomic heart. Огонь,378.0,,https://www.labirint.ru/souvenir/1020080/
,Набор значков Atomic heart. Баба Зина,378.0,,https://www.labirint.ru/souvenir/1020079/
,Набор значков Atomic heart. Атомное противостояние,378.0,,https://www.labirint.ru/souvenir/1020078/
,Набор значков Atomic heart. Атомное Сердце,378.0,,https://www.labirint.ru/souvenir/1020077/
,Genshin Impact. Официальные иллюстрации. Часть 1 : miHoYo,2451.0,,https://www.labirint.ru/books/1018462/
,"Не дразни меня, Нагаторо-сан! Том 4 : Нанаси",851.0,,https://www.labirint.ru/books/1017140/
,Топить в огне бушующем печали. Том 1 : Priest,1554.0,,https://www.labirint.ru/books/1007025/
,"СВО. Непридуманные истории. Графический роман : Лукьяненко, Григорьев",244.0,,https://www.labirint.ru/books/1020744/
,"Освободите эту ведьму. Том 1 : Эрму, Вэньхуа",910.0,,https://www.labirint.ru/books/985022/
,Тыквенный сезон. Рецепты чародейки Пам для уютных осенних вечеров : arigate,901.0,,https://www.labirint.ru/books/978203/
,Геншин. Пазлы-предсказания,872.0,,https://www.labirint.ru/souvenir/988166/
,"Кольцо Тьмы. Эльфийский клинок. Том 2 : Перумов, Старостин",924.0,,https://www.labirint.ru/books/974170/
,"Страж. Ведьмин яр. Черно-белое издание : Пехов, Старостин",1078.0,,https://www.labirint.ru/books/974169/
,"Страж. Ведьмин яр : Пехов, Старостин",924.0,,https://www.labirint.ru/books/974168/
,Ужасная Макико : Хидеши Хино,832.0,,https://www.labirint.ru/books/984886/
,Тающий класс : Дзюндзи Ито,656.0,,https://www.labirint.ru/books/984885/
,Как избавиться от 100 друзей. Том 1 : Сати Миябэ,404.0,,https://www.labirint.ru/books/984884/
,The Witch of My Heart. Том 4. Нужно уметь прощать : Julia Goldfox,776.0,,https://www.labirint.ru/books/975862/
,The Witch of My Heart. Том 3. Положись на меня : Julia Goldfox,591.0,,https://www.labirint.ru/books/975861/
,The Witch of My Heart. Том 2. Не всегда все идет гладко : Julia Goldfox,546.0,,https://www.labirint.ru/books/975860/
,The Witch of My Heart. Том 1. Что может быть общего у ведьмы и дворника? : Julia Goldfox,710.0,,https://www.labirint.ru/books/975859/
,Фантастическая эволюция насекомых : Доюн Ким,935.0,,https://www.labirint.ru/books/989874/
,Beast Complex. Звериный комплекс. Том 1 : Пару Итагаки,670.0,,https://www.labirint.ru/books/981902/
,Атака на Титанов 2. Книги 3 и 4 : Хадзимэ Исаяма,852.0,,https://www.labirint.ru/books/525284/
,Нелюдь. Том 10 : Сакураи Гамон,500.0,,https://www.labirint.ru/books/769059/
,"Проза бродячих псов. Том 9 : Харукава, Асагири",851.0,,https://www.labirint.ru/books/915459/
,"Очень приятно, бог. Том 21 : Джульетта Судзуки",539.0,,https://www.labirint.ru/books/961821/
,"Очень приятно, бог. Том 20 : Джульетта Судзуки",539.0,,https://www.labirint.ru/books/961820/
,Король шаманов. Том 8 : Хироюки Такэи,851.0,,https://www.labirint.ru/books/961829/
,Истории о монстрах. Том 2 : Исин Нисио,875.0,,https://www.labirint.ru/books/961832/
,Рыцари «Сидонии». Том 13 : Нихэй Цутому,477.0,,https://www.labirint.ru/books/988134/
,"Очень приятно, бог. Том 23 : Джульетта Судзуки",539.0,,https://www.labirint.ru/books/988132/
,"Genshin Impact. Альбом 100 наклеек, зеленый",327.0,,https://www.labirint.ru/books/990371/
,Необъятный океан. Том 7 : Иноуэ Кэндзи,771.0,,https://www.labirint.ru/books/989808/
,Тайный мир фантастических существ : Ева Туренент,817.0,,https://www.labirint.ru/books/992708/
,Fairy Tail. Том 22 : Масима Хиро,500.0,,https://www.labirint.ru/books/961831/
,"Война и мир. Графический роман : Чухрай, Полторак",1386.0,,https://www.labirint.ru/books/990590/
,Мянь Лан. Артбук : Лан Мянь,1774.0,,https://www.labirint.ru/books/970973/
,"Beyond the Story. 10-Year Record of BTS : BTS, Kang",3199.0,,https://www.labirint.ru/books/955269/
,Новеллы. Книга четвёртая : Серджо Топпи,1358.0,,https://www.labirint.ru/books/994746/
,Платонов. Цветы на земле,616.0,,https://www.labirint.ru/books/985025/
,Дружина Дарданели : Павле Зелич,770.0,,https://www.labirint.ru/books/985024/
,R значит Регресс. Том 1 : Тимур Шельм,924.0,,https://www.labirint.ru/books/985023/
,Зеленый Шершень,238.0,,https://www.labirint.ru/books/993286/
,Дятел Вуди. Весы фортуны : Уолтер Ланц,238.0,,https://www.labirint.ru/books/993285/
,Дятел Вуди. Гнев Дятла : Уолтер Ланц,238.0,,https://www.labirint.ru/books/993284/
,Хакер. Версия 1.1 : Александр Еремин,1400.0,,https://www.labirint.ru/books/993283/
,Imagine Dragons. Дневник фаната : Джеймс Блэк,735.0,,https://www.labirint.ru/office/996408/
,"Магия вернувшегося должна быть особенной. Том 3 : Ук, Ю",1011.0,,https://www.labirint.ru/books/974600/
,Основатель Тёмного Пути. Маньхуа. Том 7 : Мосян Тунсю,1192.0,,https://www.labirint.ru/books/989945/
,Искатели города дорог. Выпуск 2 : Марголис,504.0,,https://www.labirint.ru/books/996166/
,Кот Феликс. Мастер на все лапки,238.0,,https://www.labirint.ru/books/996189/
,Преступления и наказания,238.0,,https://www.labirint.ru/books/996187/
,Привратники. Том 2 : Габи,924.0,,https://www.labirint.ru/books/996178/
,Русы против Ящеров : Дмитрий Чинов,280.0,,https://www.labirint.ru/books/996177/
,"Цветами юности полна моя душа. То, что я даже представить не могла, пока мне не исполнилось сорок : Джейн Су",479.0,,https://www.labirint.ru/books/991723/
,Нескучные опыты с Оксом и Поксом : Инна Цесарь,545.0,,https://www.labirint.ru/books/996479/
,Тайная любовь. Том 1 : Чуаньлю Цзи,1063.0,,https://www.labirint.ru/books/964002/
,Костяная кукла и другие обитатели мандалы : Хидеши Хино,782.0,,https://www.labirint.ru/books/996198/
,Адская колыбельная : Хидеши Хино,807.0,,https://www.labirint.ru/books/996195/
,Ясновидящая Мако : Хидеши Хино,782.0,,https://www.labirint.ru/books/996200/
,Тяга к тебе. Выпуск 1 : Akamira,1038.0,,https://www.labirint.ru/books/992902/
,Вещь покойника : Александр Зеленков,238.0,,https://www.labirint.ru/books/1002414/
,Туалетный мальчик Ханако. Том 7 : Айда Иро,601.0,,https://www.labirint.ru/books/999774/
,"Истребитель демонов. Том 14. ""Му"" в имени Муитиро : Готогэ Коёхару",601.0,,https://www.labirint.ru/books/999771/
,Суйики. Территория воды. Том 2 : Юки Урусибара,601.0,,https://www.labirint.ru/books/999768/
,Я и другая я : Мидзу Сахара,429.0,,https://www.labirint.ru/books/996199/
,Бюст Бендер,2702.0,,https://www.labirint.ru/games/1020915/
,Бюст Рик и Морти,2702.0,,https://www.labirint.ru/games/1020914/
,Бюст Гомер,2324.0,,https://www.labirint.ru/games/1020913/
,Бюст Соник,2702.0,,https://www.labirint.ru/games/1020912/
,Тим идет в школу : Александра Калинина,277.0,,https://www.labirint.ru/books/1021004/
,Тим и страшная тень : Александра Калинина,277.0,,https://www.labirint.ru/books/1021003/
,Космический почтальон — 3. Голодный рейс : Гийом Перро,1442.0,,https://www.labirint.ru/books/1021043/
,Чудовище за соседней партой. Иллюстрации Робико. Артбук : Робико,2044.0,,https://www.labirint.ru/books/1021879/
,"Сакура, собирательница карт. Том 7 : CLAMP",726.0,,https://www.labirint.ru/books/1021878/
,"Сакура, собирательница карт. Том 6 : CLAMP",726.0,,https://www.labirint.ru/books/1021877/
,Бездомный бог. Том 23 : Адатитока,539.0,,https://www.labirint.ru/books/1021875/
,Бездомный бог. Том 22 : Адатитока,539.0,,https://www.labirint.ru/books/1021874/
,Бездомный бог. Том 21 : Адатитока,539.0,,https://www.labirint.ru/books/1021873/
,"Скрытые системы. Вода, электричество, интернет и другие загадочные вещи : Дэн Нотт",1198.0,,https://www.labirint.ru/books/1022259/
